stableId,id,sourceType,questionScope,sectionIds,entryId,level,displayLevel,prompt,correctAnswer,distractorB,distractorBFeedback,distractorC,distractorCFeedback,distractorD,distractorDFeedback,visibleCorrectExplanation,visibleConnection,visibleTakeaway,qualityProfile,sourceUrl
L100_introductory-questions_1_067,question.introductory-questions.100.001,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.001,1,100,What is the main job of the opening questions?,"They frame the big question through arrival, progress, and endings",They replace the detailed examples in later sections,"That answer changes the point: They frame the big question through arrival, progress, and endings.",They reduce the opening to facts instead of asking what arrival means,"That answer changes the point: They frame the big question through arrival, progress, and endings.",They settle the answer too early instead of opening the problem,"That answer changes the point: They frame the big question through arrival, progress, and endings.","They frame the big question through arrival, progress, and endings.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_introductory-questions_2_054,question.introductory-questions.100.002,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.002,1,100,What does “My Way” mainly turn the end into?,A moment for looking back at a life path,A joke about avoiding every consequence,That answer changes the point: A moment for looking back at a life path.,A song about planning another vacation,That answer changes the point: A moment for looking back at a life path.,A final judgment on travel rather than a life looking backward,That answer changes the point: A moment for looking back at a life path.,A moment for looking back at a life path.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_introductory-questions_3_077,question.introductory-questions.100.003,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.003,1,100,What changed when viewers watched long films at home?,They could check the time remaining more easily,They could rewrite the ending while watching,That answer changes the point: They could check the time remaining more easily.,Watching at home adds control without changing the filmed ending,That answer changes the point: They could check the time remaining more easily.,"Checking time changes expectation, not the work itself",That answer changes the point: They could check the time remaining more easily.,They could check the time remaining more easily.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_introductory-questions_4_035,question.introductory-questions.100.004,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.004,1,100,What does Simba want before he is ready?,The freedom and status of being king,A map showing every possible route,That answer changes the point: The freedom and status of being king.,A wish for freedom without admitting the burden of rule,That answer changes the point: The freedom and status of being king.,A wish to arrive at power before being ready for it,That answer changes the point: The freedom and status of being king.,The freedom and status of being king.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_introductory-questions_5_075,question.introductory-questions.100.005,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.005,1,100,"What do nuclear cars, food pills, and 3D TVs share?",They promised futures that did not become normal,They all became required parts of daily life,That answer changes the point: They promised futures that did not become normal.,They were imagined strongly but never became ordinary life,That answer changes the point: They promised futures that did not become normal.,They show that prediction can fail even when it sounds close,That answer changes the point: They promised futures that did not become normal.,They promised futures that did not become normal.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_introductory-questions_6_090,question.introductory-questions.100.006,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.006,1,100,What do unfinished games and unfinished degrees both show?,Starting and completing are different challenges,Digital goals are always harder than school goals,That answer changes the point: Starting and completing are different challenges.,People often stop even when the goal remains possible,That answer changes the point: Starting and completing are different challenges.,Every unfinished route is a personal failure,That answer changes the point: Starting and completing are different challenges.,Starting and completing are different challenges.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_introductory-questions_1_179,question.introductory-questions.200.001,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.001,2,200,Why does “Are we there yet?” work as a big question?,"It can be literal, emotional, academic, and philosophical",It applies only to children sitting in cars on trips,"That answer changes the point: It can be literal, emotional, academic, and philosophical.",It proves destinations matter more than journeys,"That answer changes the point: It can be literal, emotional, academic, and philosophical.",It turns a question into a fixed answer instead of a lens,"That answer changes the point: It can be literal, emotional, academic, and philosophical.","It can be literal, emotional, academic, and philosophical.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_introductory-questions_2_212,question.introductory-questions.200.002,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.002,2,200,"What more specific detail from ""Frank Sinatra, My Way"" should an alpaca remember after the obvious fact?","It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.",It gives the future emotional weight before it arrives; the wait starts changing behavior before the destination exists.,"That answer changes the point: It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.","It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.","That answer changes the point: It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.",It turns arrival into a contested reward: institutions can recognize the endpoint even when the route did more of the real changing.,"That answer changes the point: It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.","It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.",,,,WSC_2026_updated_level_100_200_300_questions.csv
L200_introductory-questions_3_211,question.introductory-questions.200.003,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.003,2,200,"Why does False endings and near-endings matter to ""Are we there yet?""","It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.",It interrupts the direct route and tests whether the destination still matters after the path has changed.,"That answer changes the point: It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.","It turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility.","That answer changes the point: It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.",It gives the future emotional weight before it arrives; the wait starts changing behavior before the destination exists.,"That answer changes the point: It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.","It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.",,,,WSC_2026_updated_level_100_200_300_questions.csv
L200_introductory-questions_4_210,question.introductory-questions.200.004,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.004,2,200,"Why does Ordinary life as journey matter to ""Are we there yet?""","It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.",It turns arrival into a contested reward: institutions can recognize the endpoint even when the route did more of the real changing.,"That answer changes the point: It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.","It exposes ending as a decision point, not a natural fact; a rule, audience, institution, or feeling can each declare the finish at a different time.","That answer changes the point: It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.","It makes almost-finished status unstable: the audience feels closure before the system, story, or conflict is actually done.","That answer changes the point: It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.","It moves journey language from travel into identity, work, recovery, and growth, where distance is harder to measure than change.",,,,WSC_2026_updated_level_100_200_300_questions.csv
L200_introductory-questions_5_214,question.introductory-questions.200.005,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.005,2,200,"What more specific detail from ""Technologies That Seemed Close but Never Arrived"" should an alpaca remember after the obvious fact?","At the entry level, this teaches students to question predictions instead of simply believing them. At the section level, it gives the introduction a bridge into futurism. Key examples to keep available: Nuclear-Powered Cars; Food Pills; 3D Television; Why Some Futures Stay “Almost There”.",The entry mainly proves that every predicted technology eventually succeeds if people wait long enough.,That reverses the point: some futures stay almost there because real-world adoption never catches up to the prediction.,"The key lesson is that nuclear cars, food pills, and 3D television failed only because they were never imagined clearly.","The problem was not only imagination; the entry stresses practical limits such as safety, cost, usefulness, comfort, and adoption.",Students should remember that technical possibility alone guarantees adoption once a prototype exists.,"The entry says the opposite: a technology can be technically possible and still fail if it is inconvenient, risky, costly, or not useful enough.","The entry uses nuclear-powered cars, food pills, and 3D television to show that prediction needs reality checks about use, risk, cost, comfort, and adoption.",,,,WSC_2026_updated_level_100_200_300_questions.csv
L200_introductory-questions_6_213,question.introductory-questions.200.006,entry.quizQuestions,Raw Content,introductory-questions,raw.introductory-questions.006,2,200,"What more specific detail from ""Things We Commit To but Do Not Finish"" should an alpaca remember after the obvious fact?","At the entry level, this helps students separate starting from finishing. At the section level, it gives the introduction a realistic counterpoint: some routes do not end in arrival. Key examples to keep available: The truth is that sometimes we’ll never get there at all; Most videogames are left unfinished; nearly half of those who start university don’t get a degree; Unfinished Video Games.",The entry says unfinished games and degrees mostly prove that people should never begin difficult routes.,"That overcorrects: the entry asks why commitments are not completed, not whether difficult routes should be avoided.",The key detail is that modern technology always makes completion easier by removing distraction.,"The entry is more balanced: technology can help organize work, but it can also create new exits and distractions.",Students should remember that non-completion is always irrational failure rather than sometimes a changed cost-benefit decision.,"The entry says not finishing can be failure, but it can also be a rational decision when the destination no longer justifies the cost.","The entry uses unfinished games, university degrees, and unfinished goals to show that starting and finishing are different problems shaped by time, support, pressure, distraction, and changing value.",,,,WSC_2026_updated_level_100_200_300_questions.csv
L300_introductory-questions__235,question.introductory-questions.300.007,section.guideQuestions,Section Journey,introductory-questions,,3,300,"Start with this detail: Some goals are destination-centered (finish line, graduation, arrival city). Which idea gives the best comparison?",What counts as an ending,False endings and near-endings,That answer changes the point: What counts as an ending.,Detours,That answer changes the point: What counts as an ending.,Point of no return,That answer changes the point: What counts as an ending.,Correct: What counts as an ending.,"The question starts from a concrete detail in Destination vs journey: Some goals are destination-centered (finish line, graduation, arrival city). It is really asking which answer handles a similar pressure. What counts as an ending is the best connection because it exposes ending as a decision point, not a natural fact; a rule, audience, institution, or feeling can each declare the finish at a different time. Both ideas ask alpacas to notice that People love process talk, but schools, jobs, contests, and governments still reward visible endpoints. That tension drives the whole theme.",,,WSC_2026_updated_level_100_200_300_questions.csv
